Analyzing belive...                                             

  error - The method 'getFriendRequests' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:138:41 - undefined_method
  error - The method 'getFriendRequests' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:139:41 - undefined_method
  error - The method 'getFriendLevels' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:154:36 - undefined_method
  error - The method 'getFriendRanking' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:169:36 - undefined_method
  error - The method 'getFriendHistory' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:185:36 - undefined_method
  error - The method 'getFriendDiscover' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:199:36 - undefined_method
  error - The method 'sendFriendRequest' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:215:36 - undefined_method
  error - The method 'acceptFriendRequest' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:243:36 - undefined_method
  error - The method 'rejectFriendRequest' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:264:36 - undefined_method
  error - The method 'cancelFriendRequest' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:284:36 - undefined_method
  error - The method 'removeFriend' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:304:36 - undefined_method
  error - The method 'getFriendPrivileges' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:321:36 - undefined_method
  error - The method 'getFriendRings' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:333:36 - undefined_method
  error - The method 'equipFriendRing' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:349:36 - undefined_method
  error - The method 'getGiftCategories' isn't defined for the type 'ApiService' - lib\providers\gift_provider.dart:36:36 - undefined_method
  error - The method 'getGifts' isn't defined for the type 'ApiService' - lib\providers\gift_provider.dart:56:36 - undefined_method
  error - The method 'getStickers' isn't defined for the type 'ApiService' - lib\providers\gift_provider.dart:71:36 - undefined_method
  error - The method 'getKycSettings' isn't defined for the type 'ApiService' - lib\providers\kyc_provider.dart:94:20 - undefined_method
  error - The method 'getKycStatus' isn't defined for the type 'ApiService' - lib\providers\kyc_provider.dart:95:20 - undefined_method
  error - The method 'getKycAiConfig' isn't defined for the type 'ApiService' - lib\providers\kyc_provider.dart:96:20 - undefined_method
  error - The method 'getKycStatus' isn't defined for the type 'ApiService' - lib\providers\kyc_provider.dart:113:34 - undefined_method
  error - The method 'getKycHistory' isn't defined for the type 'ApiService' - lib\providers\kyc_provider.dart:123:36 - undefined_method
  error - The method 'getKycWithdrawalCheck' isn't defined for the type 'ApiService' - lib\providers\kyc_provider.dart:145:31 - undefined_method
  error - The name 'KycDocumentUpload' isn't a type, so it can't be used as a type argument - lib\providers\kyc_provider.dart:174:10 - non_type_as_type_argument
  error - The method 'submitKyc' isn't defined for the type 'ApiService' - lib\providers\kyc_provider.dart:205:36 - undefined_method
  error - The method 'getLeaderboard' isn't defined for the type 'ApiService' - lib\providers\leaderboard_provider.dart:31:36 - undefined_method
  error - The method 'getLiveUsers' isn't defined for the type 'ApiService' - lib\providers\live_provider.dart:85:36 - undefined_method
  error - The method 'getNotifications' isn't defined for the type 'ApiService' - lib\providers\notification_provider.dart:85:36 - undefined_method
  error - The method 'markNotificationRead' isn't defined for the type 'ApiService' - lib\providers\notification_provider.dart:289:24 - undefined_method
  error - The method 'markAllNotificationsRead' isn't defined for the type 'ApiService' - lib\providers\notification_provider.dart:310:24 - undefined_method
  error - The method 'updatePkScore' isn't defined for the type 'ApiService' - lib\providers\pk_provider.dart:236:24 - undefined_method
